trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.3, 'e': 0.2566607769535559}",25,3,30.2824070054773,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.25157855305975646}",30,19,8.449846770303774,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.24659696394160643}",20,0,-3.711064806282809,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.3, 'e': 0.24171401689703645}",20,0,-3.201662767079747,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.3, 'e': 0.23692775868212176}",20,13,3.677730648638408,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.23223627472975883}",20,7,-25.10376126272249,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.3, 'e': 0.22763768838381274}",20,10,7.218527968404911,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.22313016014842982}",20,12,2.430982388437627,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.21871188695221475}",25,16,-27.044599673603805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.3, 'e': 0.21438110142697794}",20,14,10.911701732458278,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.21013607120076472}",25,0,17.529106240793798,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
79,False,"{'a': 0.3, 'e': 0.20597509820488344}",25,11,12.876535415118019,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.20189651799465538}",30,8,-62.768761794619664,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 1}",1
81,False,"{'a': 0.3, 'e': 0.19789869908361465}",20,9,16.753658305622054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.19398004229089189}",30,0,-77.18294082708937,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
83,False,"{'a': 0.3, 'e': 0.1901389801015205}",30,10,13.318602806032466,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.18637397603940997}",25,5,1.9126235939593481,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.18268352405273466}",25,20,9.934931488310252,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.17906614791149322}",20,0,32.14187481891803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.3, 'e': 0.17552040061699686}",20,6,15.288393581564472,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.17204486382305054}",20,13,1.0326397969063648,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.1686381472685955}",30,8,18.66505949240625,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
